"[1, 1, 478, 349, 1679696314.295416]","[2, 1, 348, 288, 1679696314.295416]","[3, 1, 293, 259, 1679696314.295416]","[4, 1, 235, 290, 1679696314.295416]","[5, 3, 219, 230, 1679696314.295416]"
"[1, 1, 474, 348, 1679696314.355425]","[2, 1, 347, 287, 1679696314.355425]","[3, 1, 292, 259, 1679696314.355425]","[4, 1, 235, 290, 1679696314.355425]","[5, 3, 220, 230, 1679696314.355425]"
"[1, 1, 471, 346, 1679696314.392101]","[2, 1, 345, 285, 1679696314.392101]","[3, 1, 291, 259, 1679696314.392101]","[4, 1, 235, 290, 1679696314.392101]","[5, 3, 220, 230, 1679696314.392101]"
"[1, 1, 467, 344, 1679696314.430281]","[2, 1, 343, 285, 1679696314.430281]","[3, 1, 291, 258, 1679696314.430281]","[4, 1, 235, 290, 1679696314.430281]","[5, 3, 220, 230, 1679696314.430281]"
"[1, 1, 463, 342, 1679696314.475725]","[2, 1, 341, 284, 1679696314.475725]","[3, 1, 290, 258, 1679696314.475725]","[4, 1, 235, 290, 1679696314.475725]","[5, 3, 220, 230, 1679696314.475725]"
"[1, 1, 459, 340, 1679696314.528748]","[2, 1, 340, 283, 1679696314.528748]","[3, 1, 289, 257, 1679696314.528748]","[4, 1, 235, 290, 1679696314.528748]","[5, 3, 220, 230, 1679696314.528748]"
"[1, 1, 456, 339, 1679696314.568984]","[2, 1, 339, 283, 1679696314.568984]","[3, 1, 289, 257, 1679696314.568984]","[4, 1, 235, 290, 1679696314.568984]","[5, 3, 220, 231, 1679696314.568984]"
"[1, 1, 452, 337, 1679696314.614667]","[2, 1, 337, 282, 1679696314.614667]","[3, 1, 288, 256, 1679696314.614667]","[4, 1, 235, 290, 1679696314.614667]","[5, 3, 220, 231, 1679696314.614667]"
"[1, 1, 449, 336, 1679696314.670684]","[2, 1, 335, 282, 1679696314.670684]","[3, 1, 287, 256, 1679696314.670684]","[4, 1, 235, 290, 1679696314.670684]","[5, 3, 220, 231, 1679696314.670684]"
"[1, 1, 446, 334, 1679696314.707473]","[2, 1, 335, 281, 1679696314.707473]","[3, 1, 286, 255, 1679696314.707473]","[4, 1, 235, 290, 1679696314.707473]","[5, 3, 221, 231, 1679696314.707473]"
"[1, 1, 443, 332, 1679696314.754764]","[2, 1, 333, 280, 1679696314.754764]","[3, 1, 286, 255, 1679696314.754764]","[4, 1, 235, 290, 1679696314.754764]","[5, 3, 221, 231, 1679696314.754764]"
"[1, 1, 439, 330, 1679696314.800579]","[2, 1, 332, 279, 1679696314.800579]","[3, 1, 285, 254, 1679696314.800579]","[4, 1, 235, 290, 1679696314.800579]","[5, 3, 221, 231, 1679696314.800579]"
"[1, 1, 436, 329, 1679696314.847363]","[2, 1, 331, 279, 1679696314.847363]","[3, 1, 284, 254, 1679696314.847363]","[4, 1, 235, 290, 1679696314.847363]","[5, 3, 221, 231, 1679696314.847363]"
"[1, 1, 433, 327, 1679696314.892738]","[2, 1, 330, 278, 1679696314.892738]","[3, 1, 283, 254, 1679696314.892738]","[4, 1, 235, 290, 1679696314.892738]","[5, 3, 221, 231, 1679696314.892738]"
"[1, 1, 430, 325, 1679696314.943537]","[2, 1, 328, 277, 1679696314.943537]","[3, 1, 282, 253, 1679696314.943537]","[4, 1, 235, 290, 1679696314.943537]","[5, 3, 221, 231, 1679696314.943537]"
