"[1, 1, 294, 260, 1679695991.946798]","[2, 1, 237, 292, 1679695991.946798]","[3, 1, 479, 349, 1679695991.946798]","[4, 1, 349, 288, 1679695991.946798]","[5, 3, 220, 230, 1679695991.946798]","[6, 1, 226, 227, 1679695991.946798]"
"[1, 1, 293, 260, 1679695992.004129]","[2, 1, 237, 292, 1679695992.004129]","[3, 1, 475, 349, 1679695992.004129]","[4, 1, 346, 287, 1679695992.004129]","[5, 3, 220, 230, 1679695992.004129]","[6, 1, 223, 228, 1679695992.004129]"
"[1, 1, 292, 259, 1679695992.054457]","[2, 1, 236, 292, 1679695992.054457]","[3, 1, 472, 347, 1679695992.054457]","[4, 1, 345, 287, 1679695992.054457]","[5, 3, 220, 230, 1679695992.054457]","[6, 1, 222, 229, 1679695992.054457]"
"[1, 1, 291, 258, 1679695992.098122]","[2, 1, 236, 292, 1679695992.098122]","[3, 1, 468, 346, 1679695992.098122]","[4, 1, 343, 286, 1679695992.098122]","[5, 3, 221, 230, 1679695992.098122]","[6, 1, 222, 230, 1679695992.098122]"
"[1, 1, 291, 258, 1679695992.146341]","[2, 1, 236, 291, 1679695992.146341]","[3, 1, 464, 344, 1679695992.146341]","[4, 1, 342, 285, 1679695992.146341]","[5, 3, 221, 230, 1679695992.146341]","[6, 0, 220, 230, 1679695992.146341]"
"[1, 1, 290, 257, 1679695992.193022]","[2, 1, 236, 291, 1679695992.193022]","[3, 1, 460, 342, 1679695992.193022]","[4, 1, 340, 284, 1679695992.193022]","[5, 3, 220, 230, 1679695992.193022]","[6, 0, 220, 230, 1679695992.193022]"
"[1, 1, 289, 257, 1679695992.240923]","[2, 1, 236, 292, 1679695992.240923]","[3, 1, 457, 340, 1679695992.240923]","[4, 1, 339, 283, 1679695992.240923]","[5, 3, 220, 230, 1679695992.240923]","[6, 0, 220, 230, 1679695992.240923]"
"[1, 1, 288, 256, 1679695992.285565]","[2, 1, 237, 291, 1679695992.285565]","[3, 1, 453, 338, 1679695992.285565]","[4, 1, 337, 283, 1679695992.285565]","[5, 3, 220, 230, 1679695992.285565]","[6, 0, 220, 230, 1679695992.285565]"
"[1, 1, 288, 256, 1679695992.331555]","[2, 1, 237, 291, 1679695992.331555]","[3, 1, 450, 336, 1679695992.331555]","[4, 1, 336, 282, 1679695992.331555]","[5, 3, 221, 230, 1679695992.331555]","[6, 0, 220, 230, 1679695992.331555]"
"[1, 1, 287, 256, 1679695992.384738]","[2, 1, 236, 291, 1679695992.384738]","[3, 1, 446, 334, 1679695992.384738]","[4, 1, 335, 282, 1679695992.384738]","[5, 3, 221, 231, 1679695992.384738]","[6, 0, 221, 230, 1679695992.384738]"
