"[1, 1, 478, 349, 1679696560.636443]","[2, 1, 348, 288, 1679696560.636443]","[3, 1, 237, 290, 1679696560.636443]","[4, 3, 220, 230, 1679696560.636443]","[5, 1, 293, 259, 1679696560.636443]"
"[1, 1, 475, 348, 1679696560.697623]","[2, 1, 347, 287, 1679696560.697623]","[3, 1, 236, 291, 1679696560.697623]","[4, 3, 220, 230, 1679696560.697623]","[5, 1, 292, 259, 1679696560.697623]"
"[1, 1, 471, 346, 1679696560.756022]","[2, 1, 345, 286, 1679696560.756022]","[3, 1, 236, 291, 1679696560.756022]","[4, 3, 221, 230, 1679696560.756022]","[5, 1, 291, 259, 1679696560.756022]"
"[1, 1, 468, 344, 1679696560.78983]","[2, 1, 344, 286, 1679696560.78983]","[3, 1, 236, 291, 1679696560.78983]","[4, 3, 221, 230, 1679696560.78983]","[5, 1, 291, 259, 1679696560.78983]"
"[1, 1, 463, 342, 1679696560.836828]","[2, 1, 342, 285, 1679696560.836828]","[3, 1, 236, 291, 1679696560.836828]","[4, 3, 221, 230, 1679696560.836828]","[5, 1, 290, 258, 1679696560.836828]"
"[1, 1, 460, 341, 1679696560.883884]","[2, 1, 341, 284, 1679696560.883884]","[3, 1, 236, 291, 1679696560.883884]","[4, 3, 221, 230, 1679696560.883884]","[5, 1, 289, 258, 1679696560.883884]"
"[1, 1, 456, 339, 1679696560.929977]","[2, 1, 339, 283, 1679696560.929977]","[3, 1, 236, 291, 1679696560.929977]","[4, 3, 221, 230, 1679696560.929977]","[5, 1, 288, 257, 1679696560.929977]"
"[1, 1, 453, 337, 1679696560.976228]","[2, 1, 338, 282, 1679696560.976228]","[3, 1, 236, 290, 1679696560.977735]","[4, 3, 221, 230, 1679696560.977735]","[5, 1, 288, 256, 1679696560.977735]"
"[1, 1, 449, 336, 1679696561.027903]","[2, 1, 336, 282, 1679696561.027903]","[3, 1, 236, 290, 1679696561.027903]","[4, 3, 221, 230, 1679696561.027903]","[5, 1, 287, 256, 1679696561.027903]"
"[1, 1, 446, 334, 1679696561.07464]","[2, 1, 335, 281, 1679696561.07464]","[3, 1, 236, 290, 1679696561.07464]","[4, 3, 221, 230, 1679696561.07464]","[5, 1, 286, 255, 1679696561.07464]"
"[1, 1, 442, 332, 1679696561.122651]","[2, 1, 334, 280, 1679696561.122651]","[3, 1, 236, 290, 1679696561.122651]","[4, 3, 221, 230, 1679696561.122651]","[5, 1, 285, 255, 1679696561.122651]"
"[1, 1, 440, 330, 1679696561.171383]","[2, 1, 332, 279, 1679696561.171383]","[3, 1, 236, 290, 1679696561.171383]","[4, 3, 221, 231, 1679696561.171383]","[5, 1, 285, 254, 1679696561.171383]"
"[1, 1, 437, 328, 1679696561.216852]","[2, 1, 331, 278, 1679696561.216852]","[3, 1, 236, 290, 1679696561.216852]","[4, 3, 221, 231, 1679696561.216852]","[5, 1, 284, 253, 1679696561.216852]"
"[1, 1, 433, 326, 1679696561.256986]","[2, 1, 329, 277, 1679696561.256986]","[3, 1, 236, 290, 1679696561.256986]","[4, 3, 222, 231, 1679696561.256986]","[5, 1, 284, 253, 1679696561.256986]"
"[1, 1, 430, 325, 1679696561.309184]","[2, 1, 328, 277, 1679696561.309184]","[3, 1, 236, 290, 1679696561.309184]","[4, 3, 222, 231, 1679696561.309184]","[5, 1, 283, 252, 1679696561.309184]"
